"Account Number","National Insurance Number ","First Name","Middle Name","Surname ","Date of Birth","ISA Type being reported","Flexible ISA","Total current year subscriptions transferred in","Total current year subscriptions transferred out ","Date of first subscription event","Date of last subscription event","Total current year to date subscriptions ","LISA qualifying addition","LISA bonus claim","Market value of account","Closure Date","ISA Reason for closure","LISA Reason for closure"
"ISA000000001","LA209944C","Jack","William","Murphy","2002-05-12","Innovative Finance","Yes","14058.94","9660.09","2025-04-17","2025-05-21","3812.30","3293.41","404.51","30334.06","2025-06-21","Void","Transferred in full"
"ISA000000002","WC559867A","Emily","Victoria","Lewis","1994-11-28","Cash","Yes","2999.89","6752.63","2025-12-30","2026-03-08","19719.52","3758.80","484.21","91121.51","2026-04-02","Closed","Void"
"ISA000000003","CM540841B","James","Jane","Jones","1959-03-10","Cash","Yes","14332.34","6665.05","2025-07-12","2025-10-16","19654.31","-2330.92","529.40","99338.31","2025-12-05","Void","Void"
"ISA000000004","CP174292B","James","Alice","Mitchell","1954-05-27","Innovative Finance","No","5868.24","18778.62","2026-01-20","2026-02-01","6042.92","3784.88","74.41","41499.40","2026-03-29","Closed","Closed"
"ISA000000005","RN783079C","William","Jane","Walker","1980-08-09","Stock and Shares","Yes","17211.74","7920.79","2026-01-28","2026-03-01","7344.69","2884.31","565.38","81501.80","2026-03-16","Closed","Closed"
"ISA000000006","KR522510A","Lily","Ann","Williams","1951-09-17","Stock and Shares","Yes","13884.30","17870.09","2025-04-29","2025-08-19","2069.26","3154.82","371.38","36683.20","2026-03-03","Void","Transferred in full"
"ISA000000007","JT231661B","Thomas","Michael","Hall","2000-10-02","Stock and Shares","Yes","4100.13","11096.09","2025-10-11","2026-03-08","4474.65","1437.01","933.38","89396.74","2026-03-10","Cancelled","Transferred in full"
"ISA000000008","MB838653A","Noah","Alice","Jones","1953-12-09","Cash","Yes","10628.45","10689.08","2025-09-19","2026-01-28","11003.75","2978.90","-227.84","9897.73","2026-03-02","Void","Cancelled"
"ISA000000009","SN942634A","Jacob","Thomas","Adams","1953-01-31","Stock and Shares","Yes","7478.01","15598.90","2025-08-10","2025-11-18","1960.33","2666.84","-437.06","58996.16","2026-03-14","Void","Void"
"ISA000000010","CL954322A","Elsie","Samuel","Thomas","1949-01-29","Cash","No","5029.48","10343.03","2025-07-25","2025-09-16","7811.61","1445.05","601.49","68261.08","2026-03-19","Void","Void"
"ISA000000011","KL811548A","Ruby","Elizabeth","Morris","1959-06-20","Cash","No","3341.46","1418.68","2025-10-08","2025-10-15","9880.46","1197.85","-757.45","28430.13","2026-02-15","Cancelled","All funds withdrawn"
"ISA000000012","HP240693A","Evie","Michael","Miller","1994-11-02","Stock and Shares","Yes","13100.62","11468.72","2025-10-28","2026-02-12","6267.06","749.61","706.36","71810.65","2026-02-13","Closed","All funds withdrawn"
"ISA000000013","MN651710C","Oliver","Olivia","Edwards","1972-06-05","Innovative Finance","No","5469.20","11282.84","2025-10-26","2025-11-20","18555.87","3657.11","837.82","21573.53","2026-01-25","Closed","Transferred in full"
"ISA000000014","RY399179D","Arthur","Olivia","Baker","1991-03-17","Life Time ISA","No","9590.19","18521.04","2025-07-28","2025-09-03","754.85","3685.95","411.78","27113.00","2026-03-13","Cancelled","Transferred in full"
"ISA000000015","ME735473C","Ava","Alexander","Jackson","1946-10-19","Innovative Finance","No","6681.12","17526.26","2025-11-28","2026-02-23","3333.91","455.08","82.49","87242.77","2026-04-03","Closed","Closed"
"ISA000000016","KK404778A","Grace","Alice","Hughes","1984-02-06","Stock and Shares","No","17428.60","18365.74","2025-10-01","2025-12-14","17205.08","-2647.97","528.05","18265.92","2026-03-23","Closed","All funds withdrawn"
"ISA000000017","AH265255B","Poppy","Patrick","Green","1996-05-15","Cash","No","5297.89","4630.18","2025-05-17","2026-04-04","12825.09","-1072.30","-441.83","11208.01","2026-04-04","Cancelled","Void"
"ISA000000018","BJ035550A","Mia","Michael","Robinson","1986-06-04","Cash","Yes","14823.41","7317.97","2026-01-05","2026-01-21","11924.00","257.86","-130.30","25277.41","2026-03-03","Cancelled","Closed"
"ISA000000019","KW682176A","Ethan","Joseph","Foster","1960-02-22","Stock and Shares","Yes","4366.15","14107.58","2026-02-11","2026-02-11","2491.30","-2365.18","902.31","4210.57","2026-03-09","Void","Cancelled"
"ISA000000020","HT310624B","Ava","Victoria","Scott","1963-03-29","Cash","No","4247.30","15986.91","2026-01-12","2026-03-25","17794.92","-877.48","385.38","85561.42","2026-03-27","Cancelled","Transferred in full"
"ISA000000021","RT979869A","Emily","David","Williams","2002-08-05","Life Time ISA","No","15983.04","450.59","2025-10-22","2026-03-17","19264.91","2089.18","635.56","6709.42","2026-03-29","Cancelled","Cancelled"
"ISA000000022","PZ194638C","James","Rose","Jones","1985-09-04","Life Time ISA","No","16599.61","11513.85","2025-05-29","2026-02-09","4233.53","3059.73","157.36","93340.43","2026-04-03","Void","Cancelled"
"ISA000000023","JZ601116C","Harry","Grace","Hill","1949-01-03","Cash","No","12246.07","9635.18","2025-09-15","2026-03-12","18633.69","2908.69","448.85","73697.78","2026-04-04","Cancelled","Void"
"ISA000000024","SL972248A","Arthur","Thomas","Harris","1998-12-13","Life Time ISA","Yes","5747.55","6320.76","2026-01-26","2026-03-18","14874.24","1850.47","890.91","68623.65","2026-03-24","Closed","All funds withdrawn"
"ISA000000025","JR856780B","Poppy","Thomas","Phillips","1992-09-21","Cash","No","18649.47","4363.24","2025-05-09","2025-10-24","4871.96","1984.70","440.59","23806.28","2026-02-09","Cancelled","All funds withdrawn"
"ISA000000026","SE711723C","Jacob","Victoria","Martin","1968-09-09","Cash","No","19020.05","7531.16","2025-06-09","2025-07-12","6016.62","524.79","563.23","91446.47","2025-10-08","Cancelled","All funds withdrawn"
"ISA000000027","ME575209B","Maya","William","King","2001-05-08","Cash","No","2778.14","11551.51","2025-07-10","2025-10-27","6370.87","542.44","462.01","38395.92","2025-11-01","Closed","Void"
"ISA000000028","SM257787B","Sophia","Olivia","Davies","2006-07-20","Cash","No","3380.35","18251.74","2026-01-03","2026-03-07","17386.23","2500.00","300.46","21227.85","2026-04-05","Closed","Void"
"ISA000000029","JR599362B","Jack","Samuel","Edwards","2003-10-26","Innovative Finance","No","11641.74","7061.49","2025-08-24","2025-12-07","9760.22","2903.11","406.41","9980.62","2026-01-10","Closed","Transferred in full"
"ISA000000030","KS540469B","Elsie","Ann","Hall","1964-01-05","Cash","No","2612.76","6968.48","2025-06-17","2026-04-01","5176.83","2824.98","934.39","62762.49","2026-04-01","Void","Cancelled"
"ISA000000031","JH572599C","Theo","Samuel","Parker","1959-03-23","Stock and Shares","Yes","6400.55","2818.66","2025-06-12","2025-08-14","687.39","2019.74","454.67","81667.30","2025-09-19","Cancelled","All funds withdrawn"
"ISA000000032","MH739286D","Freya","Samuel","Martin","1999-02-22","Innovative Finance","No","2837.91","1598.28","2025-09-05","2025-12-15","11667.11","2730.08","66.54","84173.35","2025-12-16","Void","Cancelled"
"ISA000000033","CK462547D","Oscar","Ann","Evans","1973-01-13","Stock and Shares","No","18423.39","10597.00","2025-05-28","2025-08-31","13607.11","461.36","971.42","49884.27","2026-01-05","Cancelled","Closed"
"ISA000000034","WN568215B","Ruby","Grace","Phillips","1988-11-22","Cash","Yes","6828.02","10209.87","2025-08-05","2025-10-08","445.19","3938.13","185.10","92950.60","2026-01-29","Cancelled","Cancelled"
"ISA000000035","LL745471C","Emily","Alexander","Brown","1997-09-30","Innovative Finance","No","1646.91","17018.59","2026-01-31","2026-03-13","15655.87","-3134.76","-337.95","32033.88","2026-03-20","Void","Void"
"ISA000000036","CW803975A","Thomas","Grace","Thomas","1944-03-18","Cash","No","7691.12","13842.23","2026-01-24","2026-03-12","14311.47","434.49","-119.83","23789.15","2026-03-17","Cancelled","All funds withdrawn"
"ISA000000037","WE853922A","James","Benjamin","Cooper","1978-03-14","Cash","Yes","4242.50","7962.90","2025-11-26","2026-04-04","14871.11","1516.85","621.97","81585.20","2026-04-05","Closed","All funds withdrawn"
"ISA000000038","RK090347B","Harry","Alexander","Edwards","1999-08-16","Stock and Shares","No","15293.51","4398.16","2025-05-31","2025-09-12","8384.96","1105.79","889.41","33795.23","2026-03-13","Void","All funds withdrawn"
"ISA000000039","AH556279D","Daisy","Michael","Martin","1964-06-05","Life Time ISA","No","17515.61","6094.09","2025-05-17","2025-07-10","15492.72","236.05","875.94","66147.27","2025-09-23","Cancelled","Transferred in full"
"ISA000000040","KP791391B","Charlotte","Jane","Hughes","1983-10-28","Life Time ISA","No","13672.67","4772.98","2025-06-16","2025-09-13","15377.01","-2849.82","-234.70","17576.36","2026-03-01","Cancelled","Closed"
"ISA000000041","SA974708A","Harry","Alice","Hill","1943-09-06","Life Time ISA","Yes","16052.62","3340.04","2025-04-12","2025-10-09","12239.93","217.32","118.55","12289.73","2026-02-03","Void","Void"
"ISA000000042","PS913718C","Jacob","Elizabeth","Wright","1947-05-21","Stock and Shares","Yes","3332.09","18970.33","2025-05-03","2026-02-14","2679.56","1078.18","33.30","49930.42","2026-04-01","Cancelled","Closed"
"ISA000000043","PS880470A","Harry","Patrick","Cooper","1983-11-19","Stock and Shares","Yes","18578.47","4452.87","2025-12-30","2026-01-24","16141.35","1751.07","322.10","76555.60","2026-02-06","Cancelled","All funds withdrawn"
"ISA000000044","BP214569D","William","Louise","Wilson","1954-02-22","Life Time ISA","Yes","18193.75","18654.13","2026-02-01","2026-02-08","12583.73","1955.06","33.38","88592.15","2026-02-19","Closed","Cancelled"
"ISA000000045","EZ146083C","Daniel","Marie","Murphy","1971-10-26","Cash","No","5524.14","7711.20","2025-05-07","2025-10-11","5626.01","-3795.77","765.80","69041.68","2025-11-30","Closed","Closed"
"ISA000000046","BY290107A","Isla","Louise","Walker","2004-01-22","Life Time ISA","Yes","6532.04","7935.71","2026-01-06","2026-03-12","5115.67","2908.20","809.96","27956.65","2026-03-29","Void","All funds withdrawn"
"ISA000000047","LR657996D","Oliver","Claire","Cooper","1991-03-07","Stock and Shares","No","9248.77","66.85","2026-01-14","2026-03-20","9724.25","2149.21","986.02","23770.30","2026-03-30","Cancelled","Cancelled"
"ISA000000048","RX922962C","Arthur","Jane","Carter","1987-03-11","Life Time ISA","No","5949.37","8141.30","2025-06-11","2026-03-29","4733.89","-2239.77","-23.75","45556.99","2026-04-05","Closed","Void"
"ISA000000049","CB082250B","Daisy","William","King","1955-08-22","Innovative Finance","No","6642.87","19174.73","2025-06-01","2025-12-14","3481.19","2530.73","739.75","86701.21","2026-02-11","Void","Closed"
"ISA000000050","ES404523A","Mia","Ann","Harris","1999-05-02","Innovative Finance","No","12351.91","16466.57","2025-12-05","2026-03-25","12991.99","3087.28","741.02","46944.88","2026-04-05","Void","Cancelled"
"ISA000000051","BP157099C","Daniel","Ann","Foster","2000-12-21","Life Time ISA","No","12406.54","9566.44","2025-06-04","2025-10-23","2435.12","1764.89","172.63","66059.10","2025-11-08","Cancelled","Closed"
"ISA000000052","JC567094C","Ethan","Ann","Parker","1997-01-21","Innovative Finance","No","4702.14","10124.71","2025-07-10","2025-11-22","11680.62","3365.02","-251.19","68157.85","2026-03-13","Cancelled","All funds withdrawn"
"ISA000000053","AP122248D","George","Louise","Edwards","1959-05-10","Life Time ISA","No","5130.18","361.76","2025-06-15","2025-11-26","18044.60","1562.74","912.99","6738.67","2026-01-30","Void","Closed"
