"Account Number","National Insurance Number ","First Name","Middle Name","Surname ","Date of Birth","ISA Type being reported","Flexible ISA","Total current year subscriptions transferred in","Total current year subscriptions transferred out ","Date of first subscription event","Date of last subscription event","Total current year to date subscriptions ","LISA qualifying addition","LISA bonus claim","Market value of account","Closure Date","ISA Reason for closure","LISA Reason for closure"
"ISA000000001","WM580887A","Poppy","David","King","2000-06-23","Life Time ISA","Yes","2697.39","7511.99","2026-02-16","2026-02-16","4429.13","3373.69","523.19","32593.74","2026-02-19","Closed","Cancelled"
"ISA000000002","BT435970B","Jacob","Samuel","Phillips","1955-09-05","Life Time ISA","No","8623.10","17967.80","2025-04-25","2025-10-04","1863.11","3784.93","-163.45","9369.78","2025-11-09","Void","Void"
"ISA000000003","CC476127D","Finley","Olivia","Green","1960-11-02","Stock and Shares","No","10931.87","19137.44","2026-02-09","2026-03-26","13567.04","2259.62","382.78","39083.88","2026-03-26","Cancelled","Cancelled"
"ISA000000004","KR905765B","William","William","Martin","1960-04-14","Stock and Shares","No","6229.88","11382.26","2025-08-31","2025-10-12","6684.24","1273.89","304.28","75034.67","2026-03-29","Closed","All funds withdrawn"
"ISA000000005","RB535517C","Henry","Joseph","Kelly","1956-10-24","Innovative Finance","Yes","8944.01","271.01","2025-12-24","2026-04-05","5648.34","1054.60","135.90","79461.65","2026-04-05","Cancelled","Closed"
"ISA000000006","RP838418D","Mia","Joseph","Green","1997-09-04","Innovative Finance","Yes","4573.03","8722.24","2025-10-27","2025-10-29","1114.71","2360.31","837.45","36436.24","2025-12-21","Void","Void"
"ISA000000007","SZ370621B","James","Olivia","Thomas","1945-07-18","Cash","Yes","19680.41","3111.42","2025-10-10","2026-01-10","13121.21","554.24","458.08","68215.44","2026-02-28","Cancelled","Void"
"ISA000000008","LS410754C","Thomas","Joseph","Bennett","1994-07-20","Stock and Shares","No","14639.34","3514.88","2025-04-09","2026-01-30","15400.83","-395.90","-630.36","61480.04","2026-02-04","Closed","All funds withdrawn"
"ISA000000009","PA407217A","Daisy","Benjamin","White","1953-12-15","Life Time ISA","Yes","4841.54","13800.41","2025-10-18","2026-01-31","8559.45","998.52","327.15","48804.77","2026-03-15","Void","Cancelled"
"ISA000000010","EW923845A","Jack","Benjamin","Bennett","1980-05-03","Cash","Yes","8169.32","14516.09","2025-10-22","2025-12-26","14796.15","2234.98","927.31","66172.80","2026-03-08","Closed","Void"
"ISA000000011","MA922280C","Edward","Claire","Bennett","1983-10-15","Innovative Finance","No","13375.10","4303.39","2026-01-20","2026-02-06","4168.95","2193.76","229.69","6552.35","2026-03-27","Cancelled","Transferred in full"
"ISA000000012","MK418571C","Ethan","Ann","Morris","1985-10-14","Cash","Yes","6774.81","11307.55","2025-12-18","2026-04-02","4290.77","2035.76","453.99","71397.05","2026-04-05","Closed","Transferred in full"
"ISA000000013","MH327468A","Ava","Marie","Johnson","1986-04-07","Cash","Yes","13146.46","4598.22","2025-11-26","2026-01-16","410.44","3986.52","-537.98","77149.69","2026-03-16","Cancelled","Closed"
"ISA000000014","CY781237C","Edward","Olivia","Harris","2007-05-20","Cash","Yes","814.85","18916.27","2025-09-05","2026-04-03","1584.96","2861.07","923.61","12137.38","2026-04-05","Cancelled","Closed"
"ISA000000015","KM982463D","Isla","Jane","Murphy","1984-06-01","Stock and Shares","No","9626.32","9494.42","2025-12-01","2026-02-20","11856.55","1573.30","889.23","36678.35","2026-03-08","Closed","Void"
"ISA000000016","BH063087D","Charlotte","Ann","Jones","1989-10-29","Innovative Finance","Yes","10427.21","8049.99","2025-11-26","2026-01-13","12750.99","2200.03","179.91","42198.28","2026-01-28","Void","Cancelled"
"ISA000000017","AJ290128C","Daisy","Rose","Jackson","1978-07-08","Stock and Shares","Yes","6349.99","9001.71","2025-12-27","2026-02-26","19737.08","-2861.53","-18.71","55186.13","2026-03-14","Cancelled","Void"
"ISA000000018","LY759088A","Oscar","David","Lewis","1962-10-02","Innovative Finance","Yes","5853.89","5573.74","2025-06-05","2025-07-21","12210.26","3321.32","949.34","98683.89","2025-08-03","Closed","Closed"
"ISA000000019","JA634504B","Emily","Elizabeth","Walker","1986-09-22","Innovative Finance","Yes","19869.03","2987.27","2025-07-21","2026-02-24","15489.75","-2150.60","340.55","85871.54","2026-03-15","Cancelled","Void"
"ISA000000020","HC812289A","Thomas","Benjamin","Clarke","1996-11-26","Innovative Finance","No","2127.53","12862.25","2026-01-04","2026-03-05","16160.41","-62.34","101.68","53086.54","2026-03-16","Cancelled","All funds withdrawn"
"ISA000000021","JM557784B","Grace","Claire","Robinson","1966-01-20","Cash","No","4552.34","2963.87","2025-04-25","2026-03-25","12090.95","1153.62","310.72","88620.25","2026-03-31","Closed","Cancelled"
