"Account Number","National Insurance Number ","First Name","Middle Name","Surname ","Date of Birth","ISA Type being reported","Flexible ISA","Total current year subscriptions transferred in","Total current year subscriptions transferred out ","Date of first subscription event","Date of last subscription event","Total current year to date subscriptions ","LISA qualifying addition","LISA bonus claim","Market value of account","Closure Date","ISA Reason for closure","LISA Reason for closure"
"ISA000000001","WL033595D","Mia","David","Young","2002-06-26","Life Time ISA","Yes","13019.69","11391.67","2025-11-11","2026-02-02","6895.27","1021.23","128.88","5931.72","2026-02-27","Cancelled","Cancelled"
"ISA000000002","JS520473D","Sophia","Claire","Scott","1971-02-06","Stock and Shares","Yes","4849.97","15522.81","2025-04-13","2026-03-03","12915.12","342.90","343.02","63911.08","2026-03-28","Void","All funds withdrawn"
"ISA000000003","WZ625731B","Daniel","Victoria","Thomas","1959-05-30","Stock and Shares","No","908.72","13235.82","2025-06-27","2026-04-05","10765.30","3770.62","301.96","54928.60","2026-04-05","Cancelled","Void"
"ISA000000004","EA957363C","Noah","Ann","Thompson","1987-05-08","Innovative Finance","No","18408.70","12024.58","2025-09-02","2026-01-05","10456.13","3559.46","98.76","33585.31","2026-02-21","Closed","Transferred in full"
"ISA000000005","HT826522A","Maya","Thomas","Williams","1952-07-10","Stock and Shares","Yes","3870.33","18783.79","2025-12-31","2026-03-17","18277.46","3737.80","698.90","42750.23","2026-03-21","Cancelled","Transferred in full"
"ISA000000006","BY598118A","Thomas","Louise","Kelly","2001-09-03","Cash","Yes","6178.41","9131.24","2026-01-19","2026-03-25","4104.37","-2840.13","-637.83","33026.26","2026-03-31","Cancelled","Closed"
"ISA000000007","LT399659B","Freya","Elizabeth","Williams","1986-03-21","Life Time ISA","Yes","15406.05","17077.22","2025-04-14","2025-06-28","6148.05","-2389.01","-771.65","84634.98","2025-08-19","Cancelled","Cancelled"
"ISA000000008","KS727854D","Oscar","Ann","Bailey","1997-10-09","Stock and Shares","No","14512.25","11996.57","2025-07-18","2025-10-11","9714.90","2554.08","837.85","87241.70","2025-12-15","Closed","Cancelled"
"ISA000000009","EA419634B","Thomas","Elizabeth","King","1940-02-10","Stock and Shares","No","17205.02","17999.46","2026-01-06","2026-03-26","12024.38","1469.23","292.07","87060.94","2026-03-31","Cancelled","Void"
"ISA000000010","MC719480A","Ava","Alice","Allen","1978-02-06","Life Time ISA","Yes","16455.75","8052.72","2025-05-14","2026-02-26","4217.00","433.57","577.86","89943.74","2026-03-10","Cancelled","All funds withdrawn"
"ISA000000011","KL917142A","Grace","Alice","Young","1956-08-03","Stock and Shares","No","9067.24","5296.85","2025-06-01","2025-09-29","19419.47","-3439.07","103.65","42349.55","2026-02-28","Closed","Transferred in full"
"ISA000000012","ES095217B","Freya","Louise","Carter","1952-10-24","Stock and Shares","Yes","5700.71","9337.54","2025-09-06","2026-03-02","11384.43","102.42","-79.53","295.95","2026-03-04","Void","Transferred in full"
"ISA000000013","PN839686B","Lucas","Olivia","Hill","2006-11-06","Innovative Finance","Yes","8006.03","16978.86","2025-10-31","2025-12-02","11617.41","1220.60","822.68","99497.68","2026-02-03","Closed","Transferred in full"
"ISA000000014","SE418392C","Jack","Louise","Bennett","1946-07-31","Stock and Shares","Yes","2361.67","5901.96","2025-07-29","2026-04-01","10778.87","1540.84","-232.66","61166.66","2026-04-05","Void","All funds withdrawn"
"ISA000000015","HB646395A","Jacob","Rose","Collins","1997-11-22","Life Time ISA","Yes","19429.93","16143.26","2025-08-07","2025-09-27","18131.34","-569.29","625.52","79238.13","2026-03-23","Closed","Transferred in full"
"ISA000000016","AH934247A","Henry","Victoria","Phillips","1997-10-18","Innovative Finance","No","14160.52","10944.51","2025-05-02","2026-03-03","15881.45","3445.93","51.56","90703.35","2026-04-01","Closed","Void"
"ISA000000017","SH539520C","Logan","Benjamin","Jones","1974-01-09","Cash","No","17611.78","1842.42","2025-04-06","2025-09-30","6030.88","3526.16","627.21","89597.12","2025-11-30","Void","Closed"
"ISA000000018","SJ288029C","Poppy","Grace","Johnson","2000-11-14","Cash","No","409.04","15392.11","2025-09-27","2026-02-15","9532.07","3996.35","822.98","20483.88","2026-03-26","Closed","All funds withdrawn"
"ISA000000019","WP282253D","Hannah","Grace","Parker","1987-04-18","Cash","Yes","11389.18","10077.33","2025-06-03","2025-07-07","5879.98","1640.29","644.11","9148.31","2026-01-08","Cancelled","Transferred in full"
"ISA000000020","WH755451B","Grace","Michael","Carter","2001-04-13","Stock and Shares","Yes","17764.06","13177.39","2025-06-28","2025-10-14","7983.95","1490.80","711.45","3394.54","2026-02-25","Void","Closed"
"ISA000000021","WS977389D","Jacob","Ann","Miller","1999-01-29","Stock and Shares","Yes","7666.20","11176.04","2025-06-10","2026-03-18","11862.95","3980.96","240.67","60018.71","2026-03-29","Void","Closed"
"ISA000000022","LM098225D","Edward","Olivia","Cooper","1949-07-07","Cash","No","14165.42","1482.26","2026-02-04","2026-04-04","9376.66","900.46","993.70","21259.30","2026-04-04","Cancelled","All funds withdrawn"
"ISA000000023","RL894379C","Oscar","Alice","Martin","1946-03-05","Stock and Shares","Yes","159.01","13886.08","2025-10-10","2026-03-31","5718.16","2998.51","382.50","69125.71","2026-04-05","Closed","Transferred in full"
"ISA000000024","MK216597A","Edward","Victoria","Foster","1947-01-17","Cash","Yes","15907.25","7003.48","2025-11-14","2025-12-15","6691.63","-2611.08","279.46","61044.15","2026-02-28","Closed","Closed"
"ISA000000025","LC484361C","James","Claire","Hughes","1944-05-14","Innovative Finance","No","15112.38","16823.10","2026-01-09","2026-01-14","17573.17","2968.53","889.81","53903.42","2026-02-21","Void","All funds withdrawn"
"ISA000000026","BT663997B","George","Alice","White","1941-02-07","Stock and Shares","No","16629.19","2166.67","2025-11-06","2026-02-27","6105.98","3393.04","107.93","83337.47","2026-04-04","Void","Transferred in full"
"ISA000000027","HM763677C","Amelia","Benjamin","Thomas","2001-03-30","Cash","No","13360.98","16555.77","2025-08-05","2025-11-14","13070.13","-3053.50","-281.60","61065.44","2026-01-19","Closed","Closed"
"ISA000000028","ME326907B","Olivia","Elizabeth","Kelly","1954-03-21","Cash","Yes","6077.82","7210.13","2025-05-27","2026-03-27","12114.01","1058.36","-445.65","56069.26","2026-04-03","Closed","Cancelled"
"ISA000000029","JE437674B","Jacob","Patrick","Scott","1954-12-31","Life Time ISA","Yes","7412.19","18925.73","2025-10-22","2026-02-19","6598.55","2981.59","261.03","38593.59","2026-02-24","Void","All funds withdrawn"
"ISA000000030","SK034141D","Lily","Marie","Scott","1944-10-23","Cash","No","16980.43","17880.79","2025-12-03","2026-01-28","3310.22","1389.91","268.17","83974.55","2026-03-15","Closed","Transferred in full"
"ISA000000031","CN982908A","Grace","Grace","Martin","1940-06-12","Innovative Finance","No","1248.58","19318.95","2025-09-17","2025-10-29","7594.13","-721.72","999.99","85636.83","2025-11-18","Void","Closed"
"ISA000000032","MJ605994B","George","Patrick","Adams","1952-09-15","Innovative Finance","Yes","0.61","480.96","2025-09-15","2025-11-11","11376.40","-389.74","-139.74","35280.60","2026-01-26","Void","Cancelled"
"ISA000000033","JT879658A","Ava","Patrick","Miller","1943-11-09","Innovative Finance","Yes","14483.51","1325.74","2026-01-25","2026-02-27","9648.63","607.57","-282.71","40811.07","2026-03-14","Void","Closed"
"ISA000000034","LX938947A","Arthur","Ann","Murphy","1944-03-18","Stock and Shares","No","343.06","4459.08","2025-06-07","2025-12-22","16356.70","2874.96","-102.25","23482.66","2026-03-19","Cancelled","All funds withdrawn"
"ISA000000035","SH720867D","Logan","Grace","Thompson","1971-05-02","Cash","No","15195.04","16583.98","2025-04-15","2025-07-20","2548.64","2752.84","974.94","97754.18","2025-12-29","Closed","Cancelled"
"ISA000000036","RE198215B","Daniel","Claire","Lewis","1964-09-29","Stock and Shares","No","14495.17","15220.55","2025-05-25","2025-11-17","3197.88","803.84","818.82","68600.79","2026-01-01","Void","Closed"
"ISA000000037","CK195472D","Olivia","Elizabeth","Hughes","2003-09-04","Life Time ISA","Yes","16589.61","5227.59","2026-01-04","2026-01-05","3429.42","1915.37","-213.18","89629.87","2026-03-16","Void","Transferred in full"
